time,title,description
[0:00],Fathers immigrating from Sweeden to Moscow and build some of first buildings at the University of Idaho,Most of the children in father's family came to America from Sweden. How parents came to Spokane from Minnesota; to Moscow to work on the first university building. Buying Jack Driscoll's place on Burnt Ridge (1899). Smith place on Burnt Ridge. Sons bore brunt of clearing Carlson place while father built houses.
[11:00],Rural schools on the Ridge in 1899,"Rural school. Shorter length of term. Boys became retarded by ""laying out"" of school to help on the farms. No teachers in the fall of 1899 on Burnt Ridge. Some teachers were not even high school graduates, but had passed the examination for a third grade certificate. Teachers were good enough to get the children going. Mostly men teachers on Burnt Ridge. A teacher who played favorites forced a boy to chew a mouthful of paper."
[26:00],"Few boys on the Ridge continued onto high school, which was in Lewiston","""Laying out"" of school discouraged boys from going to high school, which was regarded as requiring brilliance. His brother Joe was the first on the ridge to go away to school, to the preparatory department of Lewiston Normal. Mother reluctant to leave Moscow because of educational facilities there."
[29:00],Extensiveness of work on the farm,Extensiveness of work on the farm.
[30:00],Description of mother as a hard worker,Mother a very hard worker. When old she worked on quilts. Help from an Indian woman to deliver her baby in Spokane. Her midwiving on the ridge. Sisters helped with farm work when mother was gone.
[37:00],Description of sister Ellen who worked in Troy,"Sister Ellen worked in Troy store when young, and worked in local prune and cherry orchards with other girls."
[41:00],Homes in canyon off the south end of Burnt Ridge,"Homes in the canyon off the south end of Burnt Ridge. They were places to live, but not to make a living. Some of this land was purchased by Sanders."
[46:00],Man confused by land and road boundaries,A man who couldn't survey his land boundaries right. Burying survey stones at the section corners. A man who used a road so much he thought it was his.
[53:00],Homesteaders didn't stay too long in the area; many Swedish immigrants went to church in Troy,Good neighbors were fair about helping each other. Most of the original homesteaders didn't stay too long. One man was hot headed. The Swedish people attended Lutheran church in Troy. Sanders bought land on Nez Perce prairie and sold his land to Lanphere; he died trying to homestead in Canada.
[1:00:00],Origin of Burnt Ridge's name,Burnt Ridge's name probably came from being burned. Indian burning.
[1:02:00],Parents believed they should control children's income,Parents believed they should control children's income.
[1:04:00],Various work on the farm was delegated to boys of all ages,"Older boys worked out in harvests, while younger did work at home. Beans required cultivating all summer; hiring boys became too expensive, leading to switch to peas. Bean growing replaced fallowing (c. 1910). A small bean crop prior to that time. Cycle of wheat, oats or barley and fallow. Some neighbors raised corn and potatoes, but markets were poor."
[1:13:00],Farmers and wheat varieties,Wheat varieties; farmers tried the new kinds.
[1:16:00],Problems of harvesting wheat and beans on Burnt Ridge,Seeding fall wheat before the snows. Spring wheats. Good winters had good snow covering and no hard freezes after chinook winds. Increased concentration of beans didn't pay; problems of harvesting beans. Stacking grain was necessary before threshing machines became common. First steam rig to appear on Burnt Ridge; subsequent threshing machines. A community-owned thresher on the ridge.
[1:31:00],Preparing ground for wheat planting,Preparing ground for planting. Beans weren't planted before mid-May. Rolling a log or clod masher to even the ground.
[1:36:00],"Wheat, beans, and peas growing in Latah County","Planting beans in straight rows. Dew and rain determined when you could start in the field. Long threshing days. Wheat yields. Peas took hold in eastern Latah County first, because summers were cooler. Experimenting with varieties of peas and beans."
[1:50:00],Failed attempt at Farmer's Union,Efforts to have farmer's union didn't come to much. Duthie and Green had warehouses in Troy. Warehousemen made money on resale of sacks. Dockage.
[1:55:00],Modernization and improvement in lifestyle for farmers in the 1920s,"Farmers improved their position year by year, so they could buy places that came up for sale. Many owned their land clear but mortgaged as they expanded. Cars came around World War I; first car around Troy was the mail carrier's. The twenties was hard on farmers. Some ridge families. A farmer who planted to grass and quit farming."
[2:05:00],Hunting on Burnt Ridge a mystery,Hunting on Burnt Ridge remains a mystery. Wild Davy (David Coventry) and author William Drannon were thought to be the same person by many because of the picture in the book.
[2:12:00],Political parties in Lewiston and Troy area; father supported Socialist Party; teachers discussed current events in schools,"Father supported Socialist Party. His convictions were formed from broad reading. Populist party; Ignatius Donnelly's novel about the future. Father was only socialist on Burnt Ridge, but there were a few around Troy. Inland Echo, a Lewiston socialist newspaper. Socialists ran Fourth of July celebration at Troy one year. Socialist philosophy: public control of things publicly used. Sympathy for workingman. Farmers' independence - they felt they were getting ahead by themselves. A good teacher who discussed current affairs with the school kids predicted that many socialist ideas would be widely accepted. Father sometimes debated politics with neighbors."
[2:23:00],Harvest fires and hostility of the IWW's,Hostility to IWW's. Harvest fires probably arose from smut and carelessness; never confirmed that they were set by IWW's.
[2:27:00],"School life at the U of I; classes, Army Corps, drinking at fraternities, fight between U of I and WSC","His schooling. At the U of I he was in Students' Army Training Corps, which was disbanded before he was called. Small size of University. His career work. Drinking at fraternities was kept quiet. The university presidents' (including Lindley) discouraged fighting between the U of I and WSC."
[2:33:00],Double standard of men and women in University,Double standard - a dean of women but no dean of men. Sex outside of marriage was kept very quiet at the university because it was so frowned upon. University boys at ROTC in Spokane went wild at night. Soliciting in Spokane and Moscow. Some prostitutes started as impulsive girls. Boys were too young to fight in the First World War; they came back demoralized and this was reflected in changing morals on campus.
[2:43:00],Interruption of education for need to work and fulfill family duties,"Students often interrupted education to work. Men looked at women as intellectual equals. Women were expected to become homemakers after marriage, although many worked later. He decided to teach because it seemed to offer good opportunities."
[2:53:00],Tension between town and country youth in Moscow and Troy,"Why more town youth went to high school than country youth. Social tensions between town and country were much greater in Moscow than Troy, where there was little difference."
[2:58:00],Students seek alternate cheaper housing and hire own cook,A large number of students rented a house together and hired their own cook. Many didn't join a fraternity because of the extra expense. Importance of fraternities was overrated. Fraternity and non-fraternity students mixed freely.
[3:03:00],Non-Greeks financially more independet than parents; classes; political parties; social activities in school,"Non-frat boys were more independent financially from their parents. An oddball who was a wizard with figures. Advantage of teaching mathematics over history. Young people thought they were far removed from pioneering. Difficulties with early cars and mads. Winter isolation wasn't great. Social activities at the university - dances, picnics, church groups."
[3:17:00],Churches in the area; father opposed churches and family was known as heathen,"Father's opposition to church formalism and emphasis on appearances. He did support Nora Lutheran Church, which had active missionaries. Father's independence of thought. He bought many books to learn the language. He wasn't a highly practical man. The family seldom went to church and was perhaps regarded as ""heathen."" They went to church on Christmas morning and Easter."
